Comment,Sentiment Score
how to record video from d20],0.0
cut ur nails dude,-0.2732
I thought you were a lady with those long ass nails 😂,-0.5423
"How Ya supposed to finger bang chicks at the HS dance? Cmon pimpin,  trim those nails... smh",-0.3182
"Good review, just wondering, what Sd card do you use for this?",0.4404
Cut your nasty ass nails!,-0.8588
"Damn I don’t understand what’s wrong with his nails, they look good to me lol",-0.0258
nails like a bitch!,-0.3802
The canon guys review I just got my canon eos 20d camera today and I don't know how to record for my vlogs can you help me ?,0.4019
Unless you play a stringed instrument or are a drag artist please do something with those nails,0.4215
nice vid. p.s cut your nails,0.1779
how can i access the pictures with the USB cable? it doesn't show up.,0.0
But that nails though.,0.0
"I know the vids old,  but who's all of these people to tell him to cut his nails. hell cut his nails if wants, and they actually look decent, weather there long or not. Good video tho",-0.9414
"good video, nails.",0.4404
High pitched noise,0.0
Nasty nails. Could not watch.,-0.5574
Ma boi take five minutes and cut ur nails,-0.2732
Does it have an external microphone input and does it record video?,0.0
Cut your nails dude great vid anyway,0.4588
auto wotate,0.0
cut your nails already :'),0.296
"Good review and this video is awesome because no one ever reviews these older DSLRs. But please cut your damn nails, why are they so fucking long!",0.5562
What is the vídeo outport? is there anyway to shoot video with this camera?,-0.4137
"i Hate your voice, but helpful video",0.3291
Cut your fucking nails,-0.2732
Cut your nails boi,-0.2732
Just bought one for 50 bucks in ebay !!!,0.0
Mines coming in 10 minutes ahaha,0.0
i saw this for sale for 100 bucks,0.0
do the pictures come out clear or HD?,0.3818
Cut nails :D,0.4466
"Good review, mine coming any day, with a lenses wat are best type of lenses to buy for this camera",0.7964
"Was given one of these as a gift, this video helped out a lot...subscribed!",0.4926
"Thank you, this was very helpful",0.6801
"Owned one from new. This is an excellent camera and the build quality is very high. It an excellent sports, landscape, travel, wildlife, portrait and general purpose camera. I recently bought several high quality canon lenses rather than waste money buying a new camera body. The results are amazing. It feels like a new camera that delivers even better picture results. I have also met other 20D owners who remain very pleased with the performance.",0.9516
Damn cut them nails!,-0.6239
*cutting,0.0
Cuttend your Fingernagels it Looks terrible!!!,-0.6093
life saver!,0.0
clip your fingernails.,0.0
can you please help me i need to ajust my speed as i take more sports shots soo need the best settings please ,0.8885
You are an absolute doll!  So knowledgeable and helpful!  I just got this camera for my birthday and I hope to start taking better pictures.  Wish you gave tutorial classes! ,0.9089
Thank you form filming this,0.3612
does it shoot video?,-0.34
"Great video, cut your danm nails son... ",0.4588
Awesome. Cheers! ,0.8172
It uses all CF type I and II cards (Compact Flash).,0.0
"Hey, mate, what memory card is compatible with this?",0.0
"LOVE. THank you

",0.8143
Good tutorial. I've just got this camera from my son and your tutorial helps a lot. Thanks..,0.6705
"it's not called a remote, it is called a cable release ",0.0
"20D don't have live view on LCD, but great cam for beginners.",0.7684
I have﻿ since I uploaded this video,0.0
"This is one of the best inexpensive cameras for sports photography as it shoots @ 5fps. The 40D is, in my opinion the ideal entry level sports photography camera since it as some additional features (such as 10mp, 6.5fps, and a larger buffer)",0.8225
How good is this for sports photography. ,0.4404
"Hello,
Yes, it does. All you do is turn the top mode dial into M or manual mode then turn the setting dial until it reaches B or Bulb mode.

Thanks,
That_Canon_Guy",0.765
"Can you tell me if this camera has the Exposure bulb mode ""B""?
",0.0
español,0.0
To get those other options you need to be in manual mode on the mode dial.,0.0
"Thanks.  I was able to figure it out.  The back menu display would not light up.  It ended up that it was shorting out somehow so I took it apart and fixed it.  

I have another question though.  Why do I not have all of the menu options that the manual shows such as set factory default option?",0.4404
Which display the top one or the one on the back? The canon 20D does not have live view.,0.2023
I can't get the menu display to turn on.  Is there some special step to get the display to light up and show an image?,0.4019
The max shutter speed is 1/8000sec. and it doesn't take video.,0.0
what is the max shutter speed and also does it take video??? please reply,0.4291
"Hello,
I would suggest downloading the instruction manual from Canon's web site (see description of this video for link). If you want the best source of info on this camera I would suggest The Canon 20D Magic Lantern Guide.
Thanks for watching,
That_Canon_Guy",0.8126
thanks it got me started with this camera..( i bought it from a car boot sale so have no instructions)..still carnt work out how to shoot just Jpeg as I am not sure about how to change from raw to just jpeg Ive a lot to learn  (any tips please),-0.4479
