Comment,Sentiment Score
"I have been in the market for a new camera. I was looking a several in the $250 ballpark. Then today I was at Goodwill and found this camera, still in the box. All booklets there but the bag they were in was opened. The camera card still in the bag unopened. It looks like someone got the camera, checked out the owners manual, attached the strap then put it back in the box. Going to try out my new (2007) camera tomorrow. Think I 'like be happy with my $25 purchase.",0.9109
I still use it from time to time and it's still better than my iPhone,0.4404
holly crap logan? lol wow,0.6124
i got this for a persnent for  getting all A & B  in frist grade for 3rd grade execpt i have no idea how to use it,-0.296
wat memory card do i get?,0.0
Old tech now.  Now the g7x is probably same to what this sold for and has twice the clarity and bigger and better sensor.  Amazing how tech has developed into something we now take for granted as before it was a bigger thing to have a digital camera now we just take it as normal.  I wonder in ten years what we will have and how we will look back at these old reviews and laugh about something that is so far behind compared to what is out now.,0.9325
How do i check how much battery life it has? Because i dont know how much percent it is,0.0
cool...got one for free...,0.0
Mmhmm! :) ,0.5093
where's the contrast option on this camera?,0.0
"mine just broke, the screen went black and it didnt move forever. i was so sad",-0.7777
Somehow a FOLDER icon with a SNOWFLAKE on the display screen when I am about to shoot photos. What does this mean? Where did it come from? It doesn't seem to affect anything but I have no idea where it came from. Please help ,0.5204
"Hello.logan i loved this camera,but suddenly its lcd turn black,other that every thing
is fine.do u have any solution what to do.thx

",0.7351
"how do you restart the camera!!
please answerr!!",0.5374
i have this camera and its good :),0.7096
i have canon but screen is broken =( but my dad drop in work my camreas is still work  in my computer,-0.7783
"What is the different between the Powershot SD630 and the SD750?
I bought the SD630 over four years ago for $400 and it still shoot stunning picture and an awesome macro video. Can someone give me a feed back on the different? Thanks. #76,418",0.8205
lol i got mine for free XD don't ask lmao,0.817
I love this camera.,0.6369
"i use this camera for most of my videos, but im probably getting a new one for christmas",0.0
I had this camera but it broke like last week so now im going to buy the Canon SD780 IS,-0.1154
"Have you checked the resolution setting? With mine, if i have it on high resolution in will only film for a short whaile. If i put it on medium or low it will film continuosly.",-0.2732
"HELP.... 
Can i display on my computer while im taking the video????
please teach me how.. PLEASE",0.7425
i have 1,0.0
"it depends on what features you are using the recording mode. higher the quality and effects you use, the shorter the clips...",0.0
"i have a question....
i record videos and i LOVE this cameras quality.. but it only records up to a minute... then it automatically stops.. does anyone know how to record for longer than a minute?!
PLEASE HELP =D thanks",0.9731
"Canon has warranty,,..my canon lens went bad...they fixed it for free....",0.0
Or your question was an affirmation?... :),0.4588
"Yes, you can set the exposure at macro mode.",0.4019
"we repair all brand of digital camera and camcorder FREE estimate
search for glendale camera repair on my space",0.6166
I need to photo jewelry and have a hard time getting the exposure correct - any suggestions?  I love my Canon SD 750 just need to learn how to use it.,0.5859
no Canon SD 790 is Bettaa!!,-0.4184
no canon A2000 is much better,0.1779
The video is amazing. I've been using it to make all of my videos and the quality is great.,0.836
"I know, that's why I did the "";D"" :P

anyways, thanks again",0.7213
That was meant to be a joke.  Sorry if it wasn't funny.,-0.1295
"thats not very nice : (

I'm just ignorant, and no ;D",-0.5132
"No problem. :)

Any other ancient questions? lol",0.2263
"ahhhh, thank you ;D, even though it was over a month ago I asked, but thank you for replying, at least someone did :P",0.8481
"Canon probably sends them a couple to review.

Gets them publicity.

I don't know, maybe they're in a warehouse somewhere.  Or they sell them as ""refurbished"".",0.0
"it's a ""Point & Shoot"" camera, so you can't, only camcorders can...",-0.34
"what do they do with all this stuff they use for these mini shows? do they keep all of these electronics, sell them, return them, what?",0.0
i ordered mine!!!!!!!!!!!!!!!!!!!!!! yeeeeiii!!!! i love the effect that is life black and white and you can put something like all the pink things to see in color or stuff like that!! i love it!,0.9389
this guy is full of bs,0.0
i bought this camera today i love it <3,0.7964
damn! this guy is hooooot!,-0.508
am trying to decide between the canon sd750 and sony dsc s750.......can anyone tell me which camera delivers better picture quality?,0.4404
thts surprising.....becoz i hav always heard tht canon pics are of higher quality,0.0
I just bought this for my pops (his bday). I guess I made a good choice lol...,0.4404
this camera does NOT have image stabilization (IS),0.0
I really wanted this camera first before I got the Sony DSC-W80 and I tell you I compare the picture quality between the two and the sony comes out on top everytime. Maybe because it can take pictures in High Definition. But the canon has a nice screen size and it is slimmer. i might just get this one too.,0.5574
is the SD750 better than the SD1000?,0.4404
CANON made the best camera ever!,0.6696
I dont understand does this camera make videos ?,0.0
"That guy is so cool. 
I think he could sell anything.",0.4572
"Please help me ,my SD750's lcd just turned black.Did I touched wrong buttons?How can I bring it back to it's normal view?",0.3094
"if you want high quality you need to convert them to divx mode. Quality is even gonna get better and th file size is gonna down to 40 mb from 100mb(mgeg).
that what I do with uploading on youtube.
let me know if you have more questions",0.4939
I won't buy it now.  I'll wait for their next model which will probably be released on Spring.  How do you guys feel about the battery? That's the only thing that makes me think twice about Canon's digital cameras.,0.0
"I agree!!  I bought a Kodak, but before I opened the box I came home and did some research.  It seems like the SD750 is the ""it camera"" right now.  I found it at Circuit City for $210 which was $40 cheaper than Target.  It's fabulous.  I wish it came with a case, but I ordered one.  I also put one of my PDA screen protectors on that massive and stunning screen. :-)",0.9642
"I got this camera for Christmas, the images are stunning.",0.3818
"The only thing that makes me think twice about it is that it doesn't have image stabilization and the battery is below average while Sony's can last up to almost 400 shots per full battery and pictures are fine.  If Canon cameras came with a battery that lasted THAT LONG and with image stabilization, woulnd't it be nice? :)",0.765
he was hired by canon,0.0
nice english,0.4215
if you want a camera with low blur you shall by a canon eos 300D or a 350D but the canon eos 300D and 10D is the best,0.7506
canon is best. the sony cameras are konicaminlta cameras if you is about to by a camera then by a canon,0.6369
"i like hp..not hp s cheap ass cameras, but hps r series camera, i love tmy hp r937 and r967.",0.743
i'm pretty sure it's the viewfinder aaaaand screen size,0.6705
Es una cámara GENIAL,0.5473
lol,0.4215
you can't zoom while filming time lapse,0.0
"i have this and i think it works well with a 2GB at the least. 1 GB Sd card might work as well. 4GB is even better, but I can get about 650 pictures on high quality and in large size with that.
it's really an awesome camera. idk why it costs more than the sd1000 though",0.8597
the hell if you dont.,-0.6808
bitchin cuz you dont have shit... how pathetic!,-0.6114
"I'm getting the Canon PowerShot SD900 ELPH. That's 10 megapixels! I can't wait to use it, especially after seeing how awesome this one was!",0.6892
Where can you get it?If you know can you Please tell me.,0.3182
"If only it was waterproof, I would probly get it.",0.0
I shoot my videos for youtube with this camera and I love it! if your looking for a good compact easy to use camera this is what you've been looking for!,0.8475
"yeah, it is compatible with Mac, and it takes video. there are some different video sizes and settings, including time lapse videos",0.296
I super love the video part i got this camera before my graduation for me its the best camera in the world ;),0.9349
whats the difference between the SD750 and the SD1000?,0.0
