Comment,Sentiment Score
"I have been shooting point and shoot for many years and finally decided to move of up to DSLR. I selected the d300 because it looked to be just before Nikon went to video, which I didn't need. I still shoot a manual Nikon fe and so I like the fact that I can use all my old film lenses on this camera. I am very impressed and satisfied by this camera. I saved a substantial amount as well buying a used camera.",0.8909
What about your love for the Nikon D7000?,0.6369
"PhotoFonz, thanks for a great video 
WWW.CARMINETAVERNA.COM",0.7906
Give the client the best of what's available.  I had the D300. Dynamic range was not so good compared to film. Also the crop sensor was a drag. This is 2018. Give your clients the best,0.7948
Would the D300/s work with only an SD card and nothing in the CF card slot?,0.0
"Other cameras have come and gone, but my D300 is always gonna be my go to shooter.",0.0
"I still use my D300s and my D40x with my SB600 flash.18 70, 50mm 1.4 and a 300mm afs f4.
Portraits of birds and people. The D300s does movies. The D300 does not.",0.0
"Yeah I love my D300, really good when I take photos of football grounds, but I just need to learn about how to adjust exposure properly.",0.6482
Still have mine! I'm now looking for  a wildlife lens!! So far I have the kit 18-200 and the 70-300VR. Any suggestions?,0.0
Is this a crop sensor or full frame camera ? I'm ready to replace my D1H  because I can't find a new  fresh battery.,0.1376
hi there great videos im looking to do some wildlife photography whats your thoughts on the d300 for that. also what type of lense would you suggest i know absolutely nothing about cameras and lenses this is a whole new project for me thanks any info would greatly appreciated thanks,0.9259
Does actuation play a role when buying an older camera?,0.34
"A few years ago I got a fantastic deal for a d300S, the body had only 10 shutter count, it was basic brand new in a opened box I paid around  400$ and I still love this camera to this day! Of course id love to have the D500 or the  sony A9, but for what I am able to do with the D300S I can not justify the extra expense.",0.7777
hi sir. my front dial is broken not functioning. this is for changing the aperture right? how can i change the front dial with other buttons.,-0.4767
"I appreciate all the positive comments and stories received from Nikon D300 users. Although The D7200 is my main camera, I still use the Nikon 300 on a regular basis for small products and even professional portraits. Thank you all.",0.8316
I made a decent second income with this camera. still have it. feels great in the hands. a real work horse.,0.6249
"Hi Fonz, I've bought a D300 for a strange half-assed reason & you may think I'm a bit weird.  I want to compare the skin tones look of the D300 images with those of my newer, smaller, lighter very fashionable Fuji X-T1. The Fuji is fantastic in many ways, but somehow I just have this annoying feeling in the back of my mind that the skin tones don't look as satisfying and natural as those from my previous Nikon D700 images.  I'm a cheapskate and can't quite stretch to re-buying the D700 just to test a feeling, but I saw a minty, boxed D300 for £210 - and it was just beautiful and really tempting. I figure the D300 is the little brother to the D700 and will share similar design parameters and components, and (hopefully) overall look to its output: - after all, Nikon wanted it to be really top class for APSC and built it really expensive.  It's also APSC so I can directly compare the look of 12 MP Nikon with 16MP Fuji. I'll get a 35 f1.8g DX and 50 f1.8g and do a comparison with the Fuji with 35mm f2 and 50mm f2. I've never owned the 50mm 1.8  'g' lens but I already know the 35 DX lens on the D700 is superb (with a tiny bit of vignetting.) I'm really interested to see what comes out. If the D300 shots look better to me, I may have to re-buy the enormous and heavy D700 LOL. Tim",0.9315
"When making comparisons with recent higher megapixel systems, my dilemma is determining whether the image quality at 12mp is superior to 24mp or 36mp.

My understanding is the comparatively larger and less densely packed pixels on a 12mp sensor result in less noisy image output, but I think dynamic range may improve with higher megapixel systems. 

As higher pixel density sensors are developed I presume the digital signal processing hardware and software keeps pace and perhaps eliminates the noise issues.",0.8379
I LOVE YOUR VIDEOS WWW.CARMINETAVERNA.COM,0.6369
Keep up a good work . Which time will Nikon make an update for D810 ? Keep us informed with appreciation.,0.7351
nikon d300 or nikon d3200 is better,0.4404
cool video  I am still using my nikon d200 i bought back in 2005.  now i am considering the d500 as replasment,0.3182
In pop setting you can yell,0.0
"photofonz i need help sir
D300 or the D90? Which one to buy",0.4019
"I have been using a D300 for years as it is all I can afford. I do get great images. yes I would like to upgrade to a D500. But since I can't afford it, that won't be happening. It does a great job. Yes the ISO is lacking for later evening bird photography. I need to stop before others do. And at times it won't autofocus on something I am pretty sure a new camera would. But overall it is a great camera.",0.9735
