Comment,Sentiment Score
"For perfect glitch free joining of 4k files, you must join them 1st before putting them on a timeline. Use the free software ""My MP4Box GUI"" and select the join tab. It will properly join the file sets together perfectly with no audio or video glitches. Just make sure that you choose the proper video files that go together on a ""per recording"" basis. I put my USA NTSC G7 in service mode and get unlimited 4k recording time. It is just a killer camera for the price. I also like that it has the low pass filter on the sensor to help with moire. I have a GX85 and it can have just a slightly sharper image (barely if at all) but it definitely can suffer from moire that the G7 controls better.",0.9032
"Hi all the Panasonic - G7 is now $499, and LUMIX GX85 is $599 both are in sale, I am looking for a low light / lunar photography camera, please let me know which one would be good?",0.4767
Does it also shoot 720p @30 FPS?,-0.34
Can this film 4k 60fps?,0.0
Who ever gave this guy a thumbs down is a hater because he was awesome!!!!,-0.6083
"Checked the prices in my local store. G7 ~= 50000 rub, Sony A6300 ~=60000 rub. There's no competition there, just go for a6300. The only downside is, of course, the screen design... I hope they fired that guy who though it'd be a good idea to make the screen mechanism completely useless!!!",-0.7157
"Sony a6000 vs this one for photography only for the same price, which one?",0.0
"We got the Panasonic G7 with the 14-140mm lens for vlogging and travel videos. It's a fantastic camera for the price. The lens was a good choice because of the range you have. I got some awesome shots of boats from being on a ferry and I would have never got them if I chose a different lens. We just posted our first ever vlog if anyone wants to see a more ""real world"" use for the camera. The autofocus was hit and miss though as I only purchased the camera before we left and I hadn't nailed the settings yet.",0.875
"The AF Continuous setting works the same as previous Panasonic cameras: it enables AF to be continually adjusting while shooting video. Otherwise you need to tap of half-press to refocus during video. Best to keep this OFF to avoid focus hunting during video but you MUST pay attention to focus and refocus if the subject depth changes either manually using the focus ring on the lens or automatically by tapping or half-pressing or however you have set up the camera to focus. For handing the camera to a n00b you put Continuous AF to ON: it'll focus hunt during video, but at least it'll refocus instead of having a whole video out of focus because they aren't paying attention to focus. Might also be suitable in run and gun type situations.",-0.7269
"The mic input is on the other side so a mic plug doesn’t get in the way of any other cables you may have plugged in like usb or HDMI. I’d get tired of unplugging it and plugging it back in when I used these other ports. 

Also and I know I’m being nit picky but AFS - autofocus single. AFF - Autofocus flexible",0.2846
"metal triangle strap holders....movement is one thing , but I dont know too many people who shake the hell out of it like that...? Please.. some real problems please..",-0.8674
"I heard that 
.this camera have focus problem.isnt ir correct",0.0
Got rid if this and got a Sony A6300. I love the G7 and hold a special place in my heart but the AF system and the Fat32 file format got annoying,-0.0258
"Very cool. I just ordered mine, can't wait for it to arrive, becuase I've very much outgrown my old camera, a galaxy S7.",0.3804
"Nice video..
this is my wishlish stuff. hope i can get it this year.",0.6908
"Nicely done.

The most amazing thing on the video: Your ability to walk a cat!",0.862
"What lenses do you use for that awesome Bokeh effect? Its one of the best looking bokeh effect I have seen. Those purple lights blurred in the background just make it look sooo good.
I am hoping to get the G7 really soon (when i get my exam grades, lol) so i thought i might pick some lenses with it as well!",0.9468
This is like 1100 dollars canadian :|,0.2732
doesn't the recording  limit  go away when switch from mp4 to avchd?,0.0
Do you think the Canon Sl2 is as good or even better at videos for reviews / Webcam / (Vlogging) ? G7 or Sl2 I can't tell..both are so good.. I heard that the G7 has a better video quality (even if not shooting in 4k) but the sl2 is new with better technology? plz help,0.9195
I have the G7 it's a fantastic camera. About the camera strap triangles: you can remove them! Simply pull on the plastic bit and that will reveal a piece of metal that works like a keychain!,0.7707
"I own two. Its all about the LENS folks. Spend 350.00 on a 42.5mm lens and you won't even use 4k. 
AMAZING camera body capable of anything in the hands of a photographer who understands the basic laws of the art.",0.7983
"One question, please. Does your camera (G7) have time limit to shooting video in 4K? The european version has a limit of 30 minutes. I heard that US version does not have this limit. Is it true?",0.6662
Do you have a video or guide on how and what types of lenses can adapt to this camera? the lumix lenses are so expensive and I have a box of old vintage lenses from nikons and such but dont know how to get them to work with the camera?,0.0
LOL Cough sony cough,0.5473
"Nice coverage of it!

I'm very happily using a Panasonic G6 (started out on the old Panasonic GH1 many years ago! :-o ). 

Am tempted by a G7 if I see it ultra cheap like two hundred bucks, but otherwise I think I am going to wait for the Panasonic G80/G85 to experience a drop in price. As I'd love to get the live HDMI out and IBIS :-D",0.9471
When will it be back at 500$?!!,0.0
Wtf why is $800 now,-0.5859
not even good for video. sorry,-0.4031
I just wished it had a better autofocus...,0.4404
can u try an Andoer 4k camera pls at 200$,0.0772
What's your best setting when your recording with this camera? How do you make the right adjustment for you focus if you can do a video on would be great. G7***,0.8519
I brought a Nikon a900 for shooting music videos did i fuck up?,-0.5423
"Nice camera, but it seemed a bit saturated..........as long as that was made punchy in post.",0.2263
what cam are you using this to record this>,0.0
How long can you record on video mode?,0.0
500 DOLLARS MY FUCKING ASS!!,-0.781
No volume control? I read there are 4 settings for external mic including auto gain,0.296
What’s that you have under your Recorder?,0.0
I went for the G6 because my editing PC would not survive the G7s resolution...,0.0
sd card used g7 4k please,0.3182
"I'm thinking about upgrading and I'm really grateful for this video. If you had to buy a budget camera today, what would it be?",0.5095
Can i use this to live stream or maybe a work around that will let me do so with maybe an algato?,0.0
I'd take the t3i still,0.0
"I have G7, but my video is limited - only 20mins. Is there a way to make it 29, 59 ? Thanks in advance.",0.3612
"I REALLY want a camera for traveling, to make cinematic videos and can't decide which camera to go for. Budget is about $800. Is there something better than this camera for that price? Do I necessarily need 4K for good cinematic videos?",0.8169
"I'm looking to buy one of these and your video helped heaps, thanks mate :)",0.7096
im thinking about getting this for shooting youtube vids but whats up with the auto focus thing is there a way to fix that?,0.0
bro u have a perfect radio voice,0.5719
"Great job on this review. You hit all the important topics to video shooters, and you moved at a nice, quick pace that was just right!",0.8398
"I think I'm gonna get this camera as my first one! do you think I'll be okay with the stock 14-42mm kit lens? I really don't know the differences between lenses very much, but I'm just gonna be using this camera for vlogging, streaming and some close up video recording with not a lot of movement. Definitely not going to be a power user: I just like the clarity and quality of the camera ^^",0.902
"I think the reason why your camera splits the video files up every 4GB is about the SD Card format as opposed to the camera doing it on it's own. If you format your cards to exFAT, then this should not be a problem. SD cards are usually formated as FAT 32 which has a maximum capacity for single files at 4GB. This is what I know about this matter and I am open to correction if my interpretation of your issue is off",0.3363
Ads included,0.0
"still a good deal in 2018? i have a gx1 but it's not so good for videography, especially slow mo. is the ibs in the g85 worth the extra $300 over the g7 for a beginner videographer?",0.8181
So which focus settings do you use or works best?,0.6369
"Hey EposVox,
 Did you ever send in your G7 for repair? And if so, was the experience good? Any info would be great. Thanks.
- Paul",0.8823
