Comment,Sentiment Score
I just bought this camera recently and I want to shoot interview style videos. Can anyone help me with any tips on this camera? much appreciated!,0.636
does the screen part come up so you can record yourself video taping or taking pictures,0.0
4:55 Titanic,0.0
Amazing dzieki !,0.6239
"Great presentation, gracias!!",0.6892
If you're not gonna use it please ship it to me.,0.3182
Does this camera have any overheating issues recording in 4k?,0.0
What are the applications of using headphones with your camera?,0.0
Ayyyy Victoria Gardens!,0.0
Great Video! Please let me know what the name of the song at the end was? Thanks.,0.8622
Do you still recommend this camera to get it in 2017,0.3612
This or cannon g7x,0.0
"Armando, gracias por tu video, pero podrías poner subtitulos en español por favor, saludos y muy interesantes tus videos, saludos desde Chile..!!!",0.5538
Nice video!,0.4753
any issues with overheating? I have one and taking video in phoenix outside or indoor even overheats the camera and it shuts off.,0.0
Can't wait to get this camera soon,0.0
which lens do you use in the sample video?,0.0
this video is great. the video from the camera looks great. definitely adding to my wish list,0.9274
Graded with? If you don't mind me asking...,0.0
I have found your video very helpful! But I have a quick question maybe you can help me with I own a construction company and I need  to take photos of my work sometimes in a small bathrooms without great lighting. So do you still recommend the sony in this case and if so what lens do I need? Thanks,0.8015
"Awesome review! i'm thinking about picking one up next month. Also, I think I saw some shots at Victoria Gardens! I saw y'all there that day i think!",0.7163
"Hello! How are you! One question: to record video as video clips between these two options, sony alpha a6300 and panasonic lumix gh4, which one would you choose and why? Keep in mind that you need good bokeh, cinematographic takes and above all that you can edit the video to have the best quality of video offered by these two cameras. thank you very much.",0.8802
When's the full review coming?!!,0.0
Crispy clean..,0.0
Great vid!,0.6588
Hey Armando I really liked you review on this camera man. One question... did you in any way edit the imagine quality and color of the video? or is this what the Alpha a6300 image really looks like?,0.7377
Were there any color grading done on the test footages? CRAZY QUALITY!,-0.5307
"I heard the a6300 has overheating issues, is that true?",0.4215
"HI Armando. I'm blown away by your a6300 video examples. I've been a camcorder guy for 10 years, but now I really want to learn DSLR filmmaking. Those images in Long Beach of The Queen Mary and of Bubba Gump Shrimp are just the kind of shooting I want to do. I primarily do train videos and like my Sony Camcorders, but the quality and richness just aren't there.
The A6300 looks like the perfect entry camera for me.",0.9619
So with the a6500 out now that has in body image stabilization. Would you suggest that more than the a7sii?,0.0
Did anybody see the water he was looking at?... Unreeaaal!!,0.0
Was the test footage shot with the 10-18mm lens? Footage looks magnificent,0.5994
am I the only one who feels Casey Neistat there from 4:03 till 5:08 ?,0.0
Hey what's the name of the background music,0.0
good channel,0.4404
use canon lens?,0.0
Canon 80d or Sony a6300 or a6500,0.0
"i have a question here if somebody  could help me please, i'm looking to buy a lens for overall use to use it on the a6300 and my choices are between the Canon EF 24-105mm F/4L IS USM and Sony E 10-18mm F4 OSS which one should i get? and shall i use speed booster or commlite adapter ?",0.6553
"good video & thanks, can you tell which LUT is best for converting Slog3 to Rec 709 because i am not getting perfect result's on  A6300.",0.7907
Which lens would you recommend for video?,0.3612
Who is the Music by?,0.0
great review !! i am looking into buying a sony a6300 primarily for traveling. i know this may seem like a dumb question but i am new to photography.. with the capabilities of the smartphones (iphone 6) now a days is it worth it to spend the money on an a6300? i hope this isn't insulting. it seems our phones are equipped with a decent camera.. how would it differ using a mirrorless? i do have a desire to pick up photography as a hobby and after reading up and watching countless videos it does seem like this is a good choice of camera for me so i was curious. thank you !!,0.9848
What brand and spec lens and what metabones speed adapter do you use?,0.0
que camera pica pqp... so perde com certeza pra a7s ne?,0.0
thoughts on the panasonic g7?,0.0
Hey Armando what lenses did you use to film this video?  Especially the stock video you show towards the end?,0.0
Ima def try that speed booster out. How is it with auto focus?,0.0
"What's the name of the song you used in the video sample, please?",0.3182
"Nice video! Talking about price, I wish i could pay this bargain, $1000 is very cheap. 
I live in Brazil and the Brazilian law doesnt allow me to import electronics. Sadly i paid $3000USD here in Brazil.
I wish i could get the Sony FS5, but I cant afford and I will not pay $40k for a cam that costs $7K in the US.",0.3311
what's the song you used for this video called?,0.0
"Great review!
Is the lens that you use (Canon EF 24-70 F.8 IS USM)  a mark 2?
Thanks",0.807
"Hello, did you shot the video with the sony lens or with the none native lens?
By the way which one is it and does the autofocus perform well with?
Thanks",0.6553
can u still film a movie without the headphone plug,0.0
thanks buddy,0.4404
a6300+la-ea3+sony dt 16-50f2.8  anyone  knows how this combo performs in video autofocus ?,0.0
Thinking about trading my t6i for this camera is it a good deal?,0.4404
Except the a6300 does not cost less than $1000 😑,0.0
"very well done... and great to see all those scenes of Long Beach and vicinity!  really need to get back there soon.  was initially thinking the lack of built in image stabilization might be a deal breaker on this camera but now I see that the native lenses come with IS built in, so definitely thinking this will be the 5th Sony digital camera I own!",0.8367
Another amazing video thanks so much now i'm going to buy this camera!,0.7901
Hey my friend,0.4939
What lens was used for the autofocus test on the first part of the video?,0.0
"Sony 2016: amazing autofocus and 4k
Sony 2017: touch screen and IBIS 
Sony 2018: flip out screen and improved 4k video
Sony 2019: 7D AF
Sony 2020: doesn't overheat",0.7845
Can one customise the FPS ?,0.0
"Hello Armando,
Thank you for your amazing videos, Could you please give me your opinion and answer some of my questions, i really really appreciate.

- I just bought A6300 and after some review and searches online i decided to buy complete adapter and also bought an expensive canon lens 16-35mm.

My only problem is that i am having problems taking videos with this sense, it does not focus automatically i think and my videos are not sharp, i tried to change the AUTOFOCUS to continues and it tells me not valid for the lens.


1- Did i buy the wrong lens or i am missing something else
2- should i just sell it again and try to get the sony original lenses?

thank you",0.7159
Excellent video,0.5719
What is a speed booster? I know nothing about cameras or lenses at all,0.0
Great Review!,0.6588
What lens did you use for the video at the end?,0.0
wich camera do you use,0.0
"You shot this in Victoria Gardens lol, it;s a nice mall.",0.6808
"what is your opinion about canon 80d video compared to sony a6300, how we can compare?",0.0
gr8 video,0.5719
Which camera have you used to shoot this video? The colours pop I love it :D,0.7804
"great video! i have one question, is it impossible to shoot handheld or not?",0.4574
Great video on that camera. Was there much post done on those video samples?,0.6249
yo live right by you,0.0
do make a video on performance between two lens on a6300. there is no native 85mm lens for a6300. compare SEL50F18 and SEL55F18Z ( later produce 82.5mm equivalent and f2.7) . does SEL55F18Z perform any better for bokeh?,0.1779
*Hi Armando Im starting a business taking HD and 4k Videos of huge mansions (houses) inside and outside what VideoCamera do you recommend dude and why* ?,0.5859
What is the mic you have on it?,0.0
How good is the Image stabilisation with not having it in-body and only with the lense?,0.4404
Those video shots were nice 👌🏾,0.4215
"He forgot to mention the rolling shutter, which would be an issue for people who don't film at a fixed object, and the lack of touch screen focus.  I've seen in other reviews where it will focus on an object int he foreground and the person is behind the focus point.  Typical Sony; they gave us some, but cut corners and made this an incomplete package.",-0.5106
good job. & really great samples,0.807
"Will I get the autofocus in video mode using the metabones T speed booster? If so, how fast is the autofocus? Thank you",0.4329
"Apart from from the video,If i use good lenses(like 24-70 gm) will i get  close quality  still images compared to the  a7 series or dslrs?",0.4404
PLS video settings?,0.2577
What microphone did you use I just bought the a6300,0.0
"hola amando gracias por el video, me puedes hacer el favor de recomendar cual es mejor lente que se puede usar para videos? le compre a mi hijo la a6300 el hace gymnasia (trampolín) y le encanta hacer videos así que por eso le compre esa cámara pero no estoy muy seguro que lente le quedaría mejor para sus videos te agradezco mucho por la ayuda cuídate  atte: fabian",0.128
"I just fucking maxed out my credit card to buy this. I don't think I have ever been so reckless with my money, but I'm holding it right now and it's hard to care.",0.5031
yeah under 1000$ and one lens cost more than body :D,0.7577
Some microphones have a headphone jack Thx for posting.,0.3612
thanks make more,0.4404
"I've been doing research for almost 3 weeks -- narrowed it down to:  Canon 80D, Lumix G7 and Sony A6300.  I've watched a bunch of reviews/shootouts -- I finally think your review as sold me -- A6300 w/the 10-18mm lens.  Thanks.",0.4404
Hey! Victoria Gardens! lol,0.5242
those Sample shots look so amazing,0.7065
Superb video. Thanks alot sir!,0.807
Was the Sony 10-18mm f/4 OSS Alpha E-mount Wide-Angle Zoom Lens the only lens you used in all your video recordings including the nighttime shots? What are your thoughts on the cheaper Sony 55-210 mm F4.5-6.3mm E-Mount Lens? bhphotovideo.com/c/product/1022364-REG/sony_sel55210b_e_55_210mm_f_4_5_6_3_oss.html,0.0
Just subscribed. How does it work under low light conditions?,-0.2732
great video Armando I really enjoyed! as always!,0.851
"best 4k camera under $1000!* 




*if you dont include the lumix g7 and the samsung nx500, which have touchscreen and a not as much rolling shutter",0.6696
"great video, subscribed!",0.6588
BEST CAM BUT NEED TO SPEND LIKE ANOTHER THOUSAND FOR A LEN,0.705
"The problem with this camera is the lack of Sony lenses... You'll want to get a good adapter, and that will bring the price way higher!",-0.2714
does it make 4k timelapse?,0.0
You've made a subscriber out of me.  I currently have a Canon t2i and would consider myself a hobbyist that enjoys high quality video and photos just for social media and friends.  Do you think it would be smarter to sell my camera and purchase the Sony a6000 or shell out for the Sony a6300.  I would primarily use this for travel photography and small personal projects using a 50mm and the 10-18mm.,0.8555
Am considering getting the Panasonic G7 myself.  It is cheaper and not far off in terms of video quality from this camera.,0.0
this review is tight as fuck,-0.5423
Amazing video. I'm subscribed.,0.5859
"HEllo i am planning to buy a camera i am thinking of a6300 with FE 24-70mm F4 ZA OSS what do you think these are good combination? i am also thinking about canon 760D can you please suggests me. Thankyou

and yes which lens you used in this video with sonya6300",0.7845
